Character,Community
Addam-Marbrand,0
Aegon-I-Targaryen,1
Aemon-Targaryen-(Maester-Aemon),3
Aerys-II-Targaryen,1
Aggo,2
Albett,3
Alliser-Thorne,3
Alyn,1
Arthur-Dayne,1
Arya-Stark,4
Arys-Oakheart,4
Balon-Greyjoy,1
Balon-Swann,4
Barristan-Selmy,4
Benjen-Stark,6
Beric-Dondarrion,4
Boros-Blount,4
Bowen-Marsh,3
Bran-Stark,6
Brandon-Stark,1
Bronn,5
Brynden-Tully,0
Catelyn-Stark,0
Cayn,1
Cersei-Lannister,4
Chella,5
Chett,3
Chiggen,5
Clement-Piper,0
Clydas,3
Cohollo,2
Colemon,0
Conn,5
Coratt,5
Daenerys-Targaryen,2
Danwell-Frey,0
Dareon,3
Daryn-Hornwood,1
Desmond,1
Dolf,5
Donal-Noye,3
Donnel-Waynwood,0
Doreah,2
Drogo,2
Dywen,3
Eddard-Stark,1
Edmure-Tully,0
Eon-Hunter,0
Eroeh,2
Fogo,2
Galbart-Glover,6
Gared,3
Gendry,1
Gerold-Hightower,1
Gregor-Clegane,4
Grenn,3
Gunthor-son-of-Gurn,5
Haggo,2
Halder,3
Hali,6
Hallis-Mollen,6
Harwin,1
Harys-Swyft,0
Heward,1
High-Septon-(fat_one),1
Hobb,3
Hodor,6
Hosteen-Frey,0
Hoster-Tully,0
Howland-Reed,1
Hugh,4
Hullen,6
Illyrio-Mopatis,2
Ilyn-Payne,4
Irri,2
Jacks,1
Jafer-Flowers,3
Jaime-Lannister,0
Janos-Slynt,4
Jared-Frey,0
Jaremy-Rykker,3
Jeor-Mormont,3
Jeyne-Poole,4
Jhiqui,2
Jhogo,2
Joffrey-Baratheon,4
Jommo,2
Jon-Arryn,4
Jon-Snow,3
Jon-Umber-(Greatjon),6
Jonos-Bracken,0
Jorah-Mormont,2
Jory-Cassel,1
Joseth,6
Joss,1
Jyck,5
Karyl-Vance,0
Kevan-Lannister,0
Kurleket,5
Lancel-Lannister,4
Leo-Lefford,5
Loras-Tyrell,4
Luwin,6
Lyanna-Stark,1
Lyn-Corbray,0
Lysa-Arryn,0
Mace-Tyrell,4
Maege-Mormont,6
Maegor-I-Targaryen,4
Mance-Rayder,6
Marillion,5
Marq-Piper,0
Masha-Heddle,0
Matthar,3
Meryn-Trant,4
Mirri-Maz-Duur,2
Mord,5
Mordane,4
Moreo-Tumitis,0
Morrec,5
Mya-Stone,0
Mycah,4
Mychel-Redfort,0
Myrcella-Baratheon,4
Nan,6
Nestor-Royce,0
Ogo,2
Osha,6
Oswell-Whent,1
Othor,3
Paxter-Redwyne,4
Petyr-Baelish,4
Porther,1
Pycelle,4
Pypar,3
Qotho,2
Quaro,2
Rakharo,2
Randyll-Tarly,3
Rast,3
Raymun-Darry,1
Renly-Baratheon,4
Rhaegar-Targaryen,2
Rhaego,2
Rickard-Karstark,6
Rickard-Stark,1
Rickon-Stark,6
Robb-Stark,6
Robert-Arryn,0
Robert-Baratheon,4
Rodrik-Cassel,6
Roose-Bolton,6
Samwell-Tarly,3
Sandor-Clegane,4
Sansa-Stark,4
Shae,5
Shagga,5
Stannis-Baratheon,4
Stevron-Frey,0
Stiv,6
Syrio-Forel,4
Theon-Greyjoy,6
Thoros-of-Myr,4
Timett,5
Tobho-Mott,1
Todder,3
Tomard,1
Tommen-Baratheon,4
Torrhen-Karstark,1
Tregar,1
Tyrion-Lannister,5
Tytos-Blackwood,0
Tywin-Lannister,0
Ulf-son-of-Umar,5
Vardis-Egen,0
Varly,1
Varys,4
Vayon-Poole,1
Viserys-Targaryen,2
Walder-Frey,0
Waymar-Royce,3
Wendel-Manderly,0
Will-(prologue),3
Willis-Wode,5
Wyl-(guard),1
Wylla,1
Yoren,6
